nombre	count(i.nombre)
TORUNDA DE ALCOHOL 25012	588
JERINGA DESECHABLE 10ML 21X32 302558	579
JERINGA DESECHABLE 5 ML 21X32 302549	454
CUARTO PRIVADO CON BANO Y TELEFONO	390
CLORURO DE SODIO 0.9% 250ML PISA	382
ATENCION ESPECIALIZADA HOSPITALIZACION	376
TEMPRA FCO AMP 1G/100ML IV	303
BOMBA DE INFUSION 1 CANAL (USO)	220
PENTREN FCO AMP 40MG/10ML	215
FUNDA P/TOMA DE TEMPERAT. 05031	199
CLORURO DE SODIO 1000 ML 13	194
BIOMETRIA HEMATICA COMPLETA	184
DYNASTAT FCO AMP 40MG	183
GUANTE NO ESTERIL VINILO MEDIANO 0490020	181
ESP GASA ESTERIL 28X24 10X10 0132100	178
BOMBA DE INFUSION 3 CANALES (USO)	166
ONEMER AMP 30MG/ML	165
FLEBOTEK 0-100 CON CLAVE COD.4001968	162
JERINGA DESECHABLE 3 ML 21X32 302539	153
SOLUCION HARTMANN 1000ML 25	147
FLEBOTEK QUIR NB CON CLAVE	146
FLEBOTEK INFUSOMAT C/CLAVE 3920	133
EQ. P/VENOP AD C/CLORHERIDINA VCH001-23	129
SOLUCION MIXTA 1000 ML 19	128
ELECTRODO ADULTO P/MONITOREO 2239	118
CEFAXONA FCO AMP 1G IV	115
FLEBOTEK INFUSOMAT NORMAL 3910	111
OMEPRAZOL IV 40MG AMP	111
ASISTENCIA TERAPISTA RESPIRATORIO PROC D	107
LANCETA DE ONE TOUCH	107
MICRO CLAVE C/EXT.MICRO 56CM 2V 4031211	106
ACCU-CHEK PERFORMA TIRA	97
ADMINISTRACION DE MEDICAMENTOS POR VIA I	93
CLORURO DE SODIO 500 12	89
MAGNESIO	87
ELECTROLITOS (NA K CL CO2)	85
EXAMEN GENERAL DE ORINA	84
PRAMOTIL AMP 10MG/2ML	84
LIBERTRIM AMP 0.050G/5ML	79
AGUA DE IRRIGACION 1000 ML 4000258	78
SOLUCION CS 0.9% FCO 100ML	77
QUIMICA SANGUINEA (24)	77
RECOLECTOR PUNZOCORTANTES 1.41 LTS.	73
ADAPTADOR P/ACCESO EN CATHETHER IV 36490	71
