iddiagnostico	descripcion	codigo_cie9	codigo_cie10
1	FALLO RENAL CRONICO	585   	NULL
2	NEOPLASIA MALIGNA MAMA FEMENINA	174   	NULL
3	NEUMONIA POR BACTERIA NO ESPECIFICADO	4829  	NULL
4	DOLOR ABDOMEN	7890  	NULL
5	INFECCION POR BACTERIA INTESTINO NO ESPECIFICADO	0085  	NULL
6	LUMBALGIA	7242  	NULL
7	ENFERMEDAD CARDIACA ISQUEMICA CRONICA NO ESPECIFICADO	4149  	NULL
8	FARINGITIS AGUDA	462   	NULL
9	APENDICITIS AGUDA	540   	NULL
10	COLECISTITIS AGUDA	5750  	NULL
11	CALCULO RIÑON Y URETER	592   	NULL
12	EXAMEN MEDICO GENERAL	V70   	NULL
13	INFECCION TRACTO URINARIO NO ESPECIFICADO	5990  	NULL
14	DIABETES MELLITUS	250   	NULL
15	DESVIACION TABIQUE NARIZ	470   	NULL
16	CATARATA	366   	NULL
17	INMUNODEFICIENCIA NO ESPECIFICADO	2793  	NULL
18	RINOFARINGITIS AGUDA	460   	NULL
19	CONDROMALACIA ROTULA	7177  	NULL
20	BRONQUITIS AGUDA	4660  	NULL
21	PANCREATITIS AGUDA	5770  	NULL
22	HIPERPLASIA PROSTATA	600   	NULL
23	DEGENERACION DISCO INTERVERTEBRAL TORACICO O LUMBAR	7225  	NULL
24	LEIOMIOMA UTERO	218   	NULL
25	NEOPLASIA MALIGNA OVARIO	1830  	NULL
26	COLELITIASIS Y COLEDOCOLITIASIS	574   	NULL
27	HIPERTENSION ESENCIAL	401   	NULL
28	ANGOR PECTORIS	413   	NULL
29	NEOPLASIA MALIGNA PROSTATA	185   	NULL
30	LINFOMA OTRO Y NO ESPECIFICADO	2028  	NULL
31	SIN ESPECIFICACIÓN	V829  	NULL
32	ENFERMEDAD HEPATICA Y CIRROSIS CRONICA	571   	NULL
33	SUPERVISION EMBARAZO NORMAL	V22   	NULL
34	LESION INTRACRANEAL OTRA Y NO ESPECIFICADO	854   	NULL
35	NEUMONIA ORGANISMO NO ESPECIFICADO	486   	NULL
36	ESPONDILOLISTESIS ADQUIRIDA	7384  	NULL
37	HERNIA INGUINAL	550   	NULL
38	CALCULO RIÑON	5920  	NULL
39	INFLUENZA (GRIPE)	487   	NULL
40	INFARTO AGUDO MIOCARDIO	410   	NULL
41	NEOPLASIA MALIGNA COLON	153   	NULL
42	CARCINOMA IN SITU MAMA	2330  	NULL
43	AMIGDALITIS AGUDA	463   	NULL
44	IMPACTACION INTESTINO	5603  	NULL
45	TRASTORNO INTERNO RODILLA	717   	NULL
46	ESCLEROSIS MULTIPLE	340   	NULL
47	ESTENOSIS ESPINAL SALVO CERVICAL NO ESPECIFICADO	7240  	NULL
48	FALLO CARDIACO	428   	NULL
49	OSTEOARTROSIS LOCALIZADA PRIMARIA	7151  	NULL
50	ESOFAGITIS	5301  	NULL
51	NEUMONIA POR VIRUS	480   	NULL
52	FALLO RENAL AGUDO CON OTRA LESION	5848  	NULL
53	HEMORRAGIA GASTROINTESTINAL	578   	NULL
54	ESTENOSIS ESPINAL CERVICAL	7230  	NULL
55	COLECISTITIS OTRA Y NO ESPECIFICADO	5751  	NULL
56	CARCINOMA IN SITU COLON	2303  	NULL
57	GASTRITIS AGUDA	5350  	NULL
58	TRASTORNO VAINA MUSCULO ROTADOR BRAZO	7261  	NULL
59	CERVICALGIA	7231  	NULL
60	ESOFAGITIS POR REFLUJO	53011 	NULL
61	CALCULO URETER	5921  	NULL
62	COLON IRRITABLE	5641  	NULL
63	FALLO CARDIACO CONGESTIVO NO ESPECIFICADO	4280  	NULL
64	INFECCION ESPECIFICA PERIODO PERINATAL OTRA	7718  	NULL
65	ESGUINCE INSERCION ROTADORES	8404  	NULL
66	FALLO RENAL AGUDO	584   	NULL
67	NEUMONIA POR ORGANISMO OTRO	483   	NULL
68	CIATICA	7243  	NULL
